2026-07-09T11:38:45.078212377Z [inf]  Starting Container
2026-07-09T11:38:45.850608410Z [err]  2026-07-09 11:38:45,049 INFO Job started
2026-07-09T11:38:45.850613790Z [err]  2026-07-09 11:38:45,479 INFO Fetched 30 articles so far...
2026-07-09T11:38:46.025698139Z [err]  2026-07-09 11:38:46,015 INFO Fetched 60 articles so far...
2026-07-09T11:38:46.547958878Z [err]  2026-07-09 11:38:46,542 INFO Fetched 90 articles so far...
2026-07-09T11:38:47.070421896Z [err]  2026-07-09 11:38:47,069 INFO Fetched 120 articles so far...
2026-07-09T11:38:47.595051379Z [err]  2026-07-09 11:38:47,593 INFO Fetched 150 articles so far...
2026-07-09T11:38:48.103931112Z [err]  2026-07-09 11:38:48,100 INFO Fetched 180 articles so far...
2026-07-09T11:38:48.616527164Z [err]  2026-07-09 11:38:48,607 INFO Fetched 210 articles so far...
2026-07-09T11:38:49.133285557Z [err]  2026-07-09 11:38:49,130 INFO Fetched 240 articles so far...
2026-07-09T11:38:49.675791433Z [err]  2026-07-09 11:38:49,669 INFO Fetched 270 articles so far...
2026-07-09T11:38:50.172963372Z [err]  2026-07-09 11:38:50,170 INFO Fetched 300 articles so far...
2026-07-09T11:38:50.888138414Z [err]  2026-07-09 11:38:50,698 INFO Fetched 330 articles so far...
2026-07-09T11:38:51.233288949Z [err]  2026-07-09 11:38:51,214 INFO Fetched 360 articles so far...
2026-07-09T11:38:51.898164162Z [err]  2026-07-09 11:38:51,718 INFO Fetched 390 articles so far...
2026-07-09T11:38:52.214211003Z [err]  2026-07-09 11:38:52,209 INFO Fetched 406 articles so far...
2026-07-09T11:38:52.214219123Z [err]  2026-07-09 11:38:52,209 INFO Total: 406 articles
2026-07-09T11:38:52.226486081Z [err]  2026-07-09 11:38:52,226 INFO Saved: Refer & Earn: OptiSigns Referral Program
2026-07-09T11:38:52.234369330Z [err]  2026-07-09 11:38:52,232 INFO Saved: What Access Does OptiSigns Have to My Account and Devices?
2026-07-09T11:38:52.238018708Z [err]  2026-07-09 11:38:52,237 INFO Saved: Using the Japan Earthquake App
2026-07-09T11:38:52.249753133Z [err]  2026-07-09 11:38:52,243 INFO Saved: How to Display a Snowflake Dashboard with OptiSigns
2026-07-09T11:38:52.249756933Z [err]  2026-07-09 11:38:52,248 INFO Saved: OptiSigns Digital Signage App for Zoom — Adding, Using, and Removing the App
2026-07-09T11:38:52.263471984Z [err]  2026-07-09 11:38:52,258 INFO Saved: Connect Google Meet Hardware to OptiSigns Digital Signage
2026-07-09T11:38:52.275853492Z [err]  2026-07-09 11:38:52,269 INFO Saved: Connect Microsoft Teams Rooms to OptiSigns Digital Signage
2026-07-09T11:38:52.278623999Z [err]  2026-07-09 11:38:52,278 INFO Saved: Room Integrations: Turn Your Meeting Rooms into Digital Signage
2026-07-09T11:38:52.291639539Z [err]  2026-07-09 11:38:52,288 INFO Saved: Connect Zoom Rooms to OptiSigns Digital Signage
2026-07-09T11:38:52.303907647Z [err]  2026-07-09 11:38:52,297 INFO Saved: Connect Cisco Webex Rooms to OptiSigns Digital Signage
2026-07-09T11:38:52.309825899Z [err]  2026-07-09 11:38:52,308 INFO Saved: ChromeOS PWA Instructions
2026-07-09T11:38:52.321869520Z [err]  2026-07-09 11:38:52,315 INFO Saved: How to Use the Google Ads Dashboard App
2026-07-09T11:38:52.322926927Z [err]  2026-07-09 11:38:52,321 INFO Saved: How to Use the Google Search Console App
2026-07-09T11:38:52.330032255Z [err]  2026-07-09 11:38:52,329 INFO Saved: How to Use the YouTube Dashboard App
2026-07-09T11:38:52.344277241Z [err]  2026-07-09 11:38:52,338 INFO Saved: Operational Schedule Troubleshooting
2026-07-09T11:38:52.344280311Z [err]  2026-07-09 11:38:52,343 INFO Saved: How to Use the OptiDev App
2026-07-09T11:38:52.347949509Z [err]  2026-07-09 11:38:52,346 INFO Saved: How to Set Up an Outlook Calendar App with Shared Permissions
2026-07-09T11:38:52.354335915Z [err]  2026-07-09 11:38:52,352 INFO Saved: Using an Enterprise Network (802.1x) with OptiSigns
2026-07-09T11:38:52.368321673Z [err]  2026-07-09 11:38:52,363 INFO Saved: User Management Example - Chain Restaurant or Retail Store with Multiple Locations
2026-07-09T11:38:52.391818002Z [err]  2026-07-09 11:38:52,384 INFO Saved: Getting Started with Designer
2026-07-09T11:38:52.398591664Z [err]  2026-07-09 11:38:52,397 INFO Saved: Designer 2.0 New Features
2026-07-09T11:38:52.410489647Z [err]  2026-07-09 11:38:52,408 INFO Saved: OptiSigns Pro/ProMax Player Troubleshooting Guide
2026-07-09T11:38:52.416087582Z [err]  2026-07-09 11:38:52,414 INFO Saved: How to Play Licensed Background Music on Digital Signs with OptiSound
2026-07-09T11:38:52.421761966Z [err]  2026-07-09 11:38:52,418 INFO Saved: Disk Encryption
2026-07-09T11:38:52.439845348Z [err]  2026-07-09 11:38:52,435 INFO Saved: OptiStick Troubleshooting Guide
2026-07-09T11:38:52.439852728Z [err]  2026-07-09 11:38:52,438 INFO Saved: Fixing Unexpected Screen Rotation & Incorrect Orientation with OptiSigns Android Stick
2026-07-09T11:38:52.448846264Z [err]  2026-07-09 11:38:52,447 INFO Saved: How to Use the Tableau App
